Date,Region_Name,Average_Price_SA
01/12/1999,East of England,83368.42158
01/12/1999,North West,51363.60185
01/12/1999,East Midlands,57841.94045
01/12/1999,England and Wales,73398.80294
01/01/2000,England,75537.83429
01/01/2000,Wales,52005.32036
01/01/2000,South East,104841.5641
01/01/2000,South West,81925.04664
01/01/2000,London,130167.6064
01/01/2000,East Midlands,58154.54366
01/01/2000,North West,51398.51916
01/01/2000,North East,47328.4176
01/01/2000,East of England,84374.42943
01/01/2000,Yorkshire and The Humber,50433.8872
01/01/2000,West Midlands Region,64129.24199
01/01/2000,England and Wales,74267.43008
01/02/2000,Wales,52809.35994
01/02/2000,England,76721.72272
01/02/2000,South East,106115.581
01/02/2000,West Midlands Region,64720.37176
01/02/2000,North West,51819.52803
01/02/2000,North East,48350.20036
01/02/2000,East Midlands,58973.16022
01/02/2000,South West,83682.59169
01/02/2000,East of England,84896.72633
01/02/2000,Yorkshire and The Humber,50833.10635
01/02/2000,London,133831.672
01/02/2000,England and Wales,75382.35453
01/03/2000,England,77785.16298
01/03/2000,Wales,53165.00286
01/03/2000,North West,52831.85817
01/03/2000,East of England,87053.2931
01/03/2000,West Midlands Region,64955.61568
01/03/2000,Yorkshire and The Humber,50953.88254
01/03/2000,South East,108984.5782
01/03/2000,London,135303.6722
01/03/2000,East Midlands,59740.4807
01/03/2000,South West,84780.55333
01/03/2000,North East,48351.84142
01/03/2000,England and Wales,76392.42941
01/04/2000,Wales,53009.62135
01/04/2000,England,79327.42181
01/04/2000,East Midlands,60210.82052
01/04/2000,Yorkshire and The Humber,51856.95675
01/04/2000,South West,86567.99766
01/04/2000,North West,52916.57497
01/04/2000,East of England,89113.60286
01/04/2000,North East,48384.33391
01/04/2000,West Midlands Region,66568.6504
01/04/2000,London,140227.0626
01/04/2000,South East,112183.3091
01/04/2000,England and Wales,77845.49241
01/05/2000,Wales,53327.19837
01/05/2000,England,79684.61582
01/05/2000,South West,87602.07624
01/05/2000,East Midlands,60699.62307
01/05/2000,North East,48502.56527
01/05/2000,East of England,90622.16651
01/05/2000,Yorkshire and The Humber,51860.78418
01/05/2000,North West,52674.87237
01/05/2000,London,139681.8663
01/05/2000,West Midlands Region,66573.57395
01/05/2000,South East,112969.5436
01/05/2000,England and Wales,78193.40363
01/06/2000,Wales,53059.97352
01/06/2000,England,80363.40849
01/06/2000,East of England,91228.52
01/06/2000,London,142360.6119
01/06/2000,Yorkshire and The Humber,52295.73902
01/06/2000,South East,114782.5519
01/06/2000,South West,88641.69665
01/06/2000,West Midlands Region,67246.43528
01/06/2000,North East,47697.24653
